"x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","burst","idcollar","dop","FixType","rel.deg","flag","b.screen","speed_kmh"
520228.898240615,290353.22094359,2017-05-14 20:01:42,58.9736048382474,-74.179145202972,94.7651394272248,14340,66289.3717561839,-0.899101826436063,1.23744686821562,5700,5700,24219,4,"val. GPS-3D",70.9004829204364,"no_flag","no_flag",0.0487535129869889
520287.871845453,290279.04179839,2017-05-15 00:00:42,9.99560216214741,181.478298315778,181.753362615866,14423,123368.947849825,1.51577314869213,2.41487497512819,5700,5700,24219,2.8,"val. GPS-3D",138.362144126605,"no_flag","no_flag",0.0237904115716882
520297.867447615,290460.5200967,2017-05-15 04:01:05,-2090.06907851802,-90.4435712220147,2092.02504587124,14462,72198.8559774061,-3.0983466278806,1.66906553060686,5700,5700,24219,2.2,"val. GPS-3D",95.6304106345367,"no_flag","no_flag",0.0453658812602869
518207.798369097,290370.07652548,2017-05-15 08:02:07,-2139.03191563912,-564.669747467153,2212.30862671269,14358,3369879.82378463,-2.88349669309575,0.214849934784842,5700,5700,24219,1.8,"val. GPS-3D",12.3099944918324,"no_flag","no_flag",0.520764082778071
516068.766453458,289805.40677801,2017-05-15 12:01:25,-162.927415942657,-235.341143567115,286.235561594343,14354,16264364.3817023,-2.17633792245477,0.707158770640983,5700,5700,24219,7.6,"val. GPS-3D",40.5172130033881,"no_flag","no_flag",0.554695017144844
515905.839037516,289570.06563445,2017-05-15 16:00:39,252.900422340783,-357.738534014672,438.104419447137,14435,17977990.347849,-0.95542642928917,1.2209114931656,5700,5700,24219,1.6,"val. GPS-3D",69.9530757174044,"no_flag","no_flag",0.0717882138595259
516158.739459856,289212.32710043,2017-05-15 20:01:14,-126.966964804044,289.945982820354,316.526907395268,14369,16763519.4567122,1.98354135395908,2.93896778324825,5700,5700,24219,2.8,"val. GPS-3D",168.390450105044,"no_flag","no_flag",0.10926054104674
516031.772495052,289502.27308325,2017-05-16 00:00:43,-24.9737325050519,2.21334489807487,25.0716216242931,14412,17087401.8250249,3.05319669672373,1.06965534276465,5700,5700,24219,2.8,"val. GPS-3D",61.2867366740341,"no_flag","no_flag",0.0793024473952929
516006.798762547,289504.48642815,2017-05-16 04:00:55,-1978.08394388773,35.4022273877636,1978.40071946268,14395,17283553.9566531,3.12369733205058,0.0705006353268525,5700,5700,24219,1.8,"val. GPS-3D",4.03938885721956,"no_flag","no_flag",0.00626268650065605
514028.71481866,289539.88865554,2017-05-16 08:00:50,7.02756130811758,2.69237166363746,7.52565499571361,14392,37069469.3586669,0.365867073349197,-2.75783025870138,5700,5700,24219,1.8,"val. GPS-3D",-158.012034437061,"no_flag","no_flag",0.494771975690563
514035.742379968,289542.5810272,2017-05-16 12:00:42,-2274.08703536616,463.278013134375,2320.7969238764,14397,36979775.225701,2.94062231975059,2.57475524640139,5700,5700,24219,8.6,"val. GPS-3D",147.522608897966,"no_flag","no_flag",0.00188245955979496
511761.655344602,290005.85904033,2017-05-16 16:00:39,-374.87890566187,-80.3485424043611,383.392856188983,14436,68750436.0444312,-2.93045507529947,0.412107912129533,5700,5700,24219,4.6,"val. GPS-3D",23.6120440689705,"no_flag","no_flag",0.580320130996392
511386.77643894,289925.51049793,2017-05-16 20:01:15,251.926836945582,-64.9109698208049,260.154886897178,14391,75185320.3604994,-0.252173122763799,2.67828195253567,5700,5700,24219,4,"val. GPS-3D",153.454252226351,"no_flag","no_flag",0.0956091910695719
511638.703275885,289860.59952811,2017-05-17 00:01:06,2.0194910428836,13.912100491114,14.0579117989529,14382,70972369.8509795,1.42664246170724,1.67881558447103,5700,5700,24219,2,"val. GPS-3D",96.1890475709788,"no_flag","no_flag",0.0650793963470113
511640.722766928,289874.5116286,2017-05-17 04:00:48,-243.902193180169,108.643413566053,267.005002105543,14448,70920164.5596719,2.72253858892473,1.29589612721749,5700,5700,24219,3.8,"val. GPS-3D",74.2493787769106,"no_flag","no_flag",0.00351887654542001
511396.820573748,289983.15504217,2017-05-17 08:01:36,-120.896556822525,-377.672245826572,396.550504626118,28751,74945878.4158717,-1.88059879637116,1.6800479218837,5700,5700,24219,2,"val. GPS-3D",96.2596553036604,"no_flag","no_flag",0.0665294855744708
511275.924016926,289605.48279634,2017-05-17 16:00:47,313.796308026009,245.182382480241,398.224212736294,14436,77601433.8221004,0.663260412552622,2.54385920892379,5700,5700,24219,2.2,"val. GPS-3D",145.752396346821,"no_flag","no_flag",0.0496532926386569
511589.720324952,289850.66517882,2017-05-17 20:01:23,3.00751744076842,3.10569811146706,4.32325362615893,14370,71810811.0115202,0.801457180082031,0.138196767529409,5700,5700,24219,2,"val. GPS-3D",7.91809152178569,"no_flag","no_flag",0.0993077837247616
511592.727842392,289853.77087693,2017-05-18 00:00:53,-1.00062751589576,0.489852385595441,1.11409639854066,14404,71755831.4446419,2.68634382040933,1.8848866403273,5700,5700,24219,2.4,"val. GPS-3D",107.996049351348,"no_flag","no_flag",0.00108306980196048
511591.727214876,289854.26072932,2017-05-18 04:00:57,89.9955090995063,-74.5581838842481,116.867935902867,14449,71772074.3322813,-0.691858632606971,2.90498285416328,5700,5700,24219,2.6,"val. GPS-3D",166.443257101424,"no_flag","no_flag",0.000278446753314799
511681.722723976,289779.70254543,2017-05-18 08:01:46,-572.714314676123,459.458606583998,734.23694908323,14349,70365658.6701537,2.46548280806457,-3.12584386650805,5700,5700,24219,2,"val. GPS-3D",-179.097660967766,"no_flag","no_flag",0.0291179022250898
511109.0084093,290239.16115202,2017-05-18 12:00:55,2.979562149907,0.351480991579592,3.00022157391753,14402,79790384.5950866,0.117421321617496,-2.34806148644707,5700,5700,24219,4.6,"val. GPS-3D",-134.534013210632,"no_flag","no_flag",0.184211653543775
